Title,Year,Duration,Ratting,link,,,,,,,,,,
Wild Strawberries ,1957,1h 31min,8.2,https://www.imdb.com/title/tt0050986/,,,,,,,,,,
The Treasure of the Sierra Madre ,1948,2h 6min,8.2,https://www.imdb.com/title/tt0040897/,,,,,,,,,,
Judgment at Nuremberg ,1961,2h 59min,8.2,https://www.imdb.com/title/tt0055031/,,,,,,,,,,
Tokyo Story ,1953,2h 16min,8.2,https://www.imdb.com/title/tt0046438/,,,,,,,,,,
Rashomon ,1950,1h 28min,8.2,https://www.imdb.com/title/tt0042876/,,,,,,,,,,
The Seventh Seal ,1957,1h 36min,8.2,https://www.imdb.com/title/tt0050976/,,,,,,,,,,
Stalker ,1979,2h 42min,8.2,https://www.imdb.com/title/tt0079944/,,,,,,,,,,
Yojimbo ,1961,1h 50min,8.2,https://www.imdb.com/title/tt0055630/,,,,,,,,,,
Ran ,1985,2h 42min,8.2,https://www.imdb.com/title/tt0089881/,,,,,,,,,,
To Kill a Mockingbird ,1962,2h 9min,8.2,https://www.imdb.com/title/tt0056592/,,,,,,,,,,
The Great Escape ,1963,2h 52min,8.2,https://www.imdb.com/title/tt0057115/,,,,,,,,,,
Chinatown ,1974,2h 10min,8.2,https://www.imdb.com/title/tt0071315/,,,,,,,,,,
Raging Bull ,1980,2h 9min,8.2,https://www.imdb.com/title/tt0081398/,,,,,,,,,,
Unforgiven ,1992,2h 10min,8.2,https://www.imdb.com/title/tt0105695/,,,,,,,,,,
Casino ,1995,2h 58min,8.2,https://www.imdb.com/title/tt0112641/,,,,,,,,,,
L.A. Confidential ,1997,2h 18min,8.2,https://www.imdb.com/title/tt0119488/,,,,,,,,,,
Good Will Hunting ,1997,2h 6min,8.3,https://www.imdb.com/title/tt0119217/,,,,,,,,,,
A Beautiful Mind ,2001,2h 15min,8.2,https://www.imdb.com/title/tt0268978/,,,,,,,,,,
American Beauty ,1999,2h 2min,8.3,https://www.imdb.com/title/tt0169547/,,,,,,,,,,
Eternal Sunshine of the Spotless Mind ,2004,1h 48min,8.3,https://www.imdb.com/title/tt0338013/,,,,,,,,,,
Requiem for a Dream ,2000,1h 42min,8.3,https://www.imdb.com/title/tt0180093/,,,,,,,,,,
Heat ,1995,2h 50min,8.2,https://www.imdb.com/title/tt0113277/,,,,,,,,,,
Inglourious Basterds ,2009,2h 33min,8.3,https://www.imdb.com/title/tt0361748/,,,,,,,,,,
